fecha,region,canal,categoria,visitas,clientes,unidades,importe
2026-05-01,Norte,web,Electrónica,152,33,15,5570.36
2026-05-01,Norte,web,Moda,264,79,11,4793.41
2026-05-01,Norte,web,Hogar,199,57,2,
2026-05-01,Norte,web,Alimentación,493,25,33,5479.2
2026-05-01,Norte,web,Deporte,98,31,42,1780.78
2026-05-01,Norte,tienda,Electrónica,495,55,44,11740.63
2026-05-01,Norte,,Moda,356,11,21,4961.03
2026-05-01,Norte,tienda,Hogar,63,22,9,248.97
2026-05-01,Norte,tienda,Alimentación,493,12,47,4851.11
2026-05-01,Norte,tienda,Deporte,437,6,6,718.87
2026-05-01,Norte,telefono,Electrónica,451,48,34,7128.85
2026-05-01,Norte,telefono,Moda,320,76,14,1597.0
2026-05-01,Norte,telefono,Hogar,257,57,24,4589.8
2026-05-01,Norte,telefono,Alimentación,90,19,45,2510.29
2026-05-01,Norte,telefono,Deporte,185,28,11,1269.89
2026-05-01,Norte,app,Electrónica,428,9,42,8066.67
2026-05-01,Norte,app,Moda,377,16,34,2237.09
2026-05-01,Norte,app,Hogar,342,103,44,14345.21
2026-05-01,Norte,app,Alimentación,150,18,3,1155.53
2026-05-01,Norte,app,Deporte,408,31,9,3250.06
2026-05-01,Norte,desconocido,Electrónica,228,67,32,10415.26
2026-05-01,Norte,desconocido,Moda,271,27,39,8462.37
2026-05-01,Norte,desconocido,Hogar,209,11,22,9737.74
2026-05-01,Norte,desconocido,Alimentación,183,32,28,3495.84
2026-05-01,Norte,desconocido,Deporte,177,32,25,4316.04
2026-05-01,Sur,,Electrónica,495,125,13,5630.96
2026-05-01,Sur,web,Moda,186,41,33,2558.67
2026-05-01,Sur,web,Hogar,423,36,32,9212.45
2026-05-01,Sur,web,Alimentación,491,56,12,1690.27
2026-05-01,Sur,web,Deporte,162,21,49,23949.98
2026-05-01,Sur,tienda,Electrónica,273,5,19,6588.03
2026-05-01,Sur,tienda,Moda,247,36,4,235.24
2026-05-01,Sur,tienda,Hogar,343,28,5,1617.53
2026-05-01,Sur,tienda,Alimentación,289,20,33,3047.37
2026-05-01,Sur,tienda,Deporte,308,24,36,1006.64
2026-05-01,Sur,telefono,Electrónica,401,75,41,14417.65
2026-05-01,Sur,telefono,Moda,178,15,28,10441.3
2026-05-01,Sur,telefono,Hogar,347,103,7,2357.55
2026-05-01,Sur,telefono,Alimentación,109,6,1,64.69
2026-05-01,Sur,telefono,Deporte,58,13,35,12466.01
2026-05-01,Sur,app,Electrónica,103,28,33,10829.78
2026-05-01,Sur,app,Moda,471,108,20,5974.59
2026-05-01,Sur,app,Hogar,202,33,18,1749.38
2026-05-01,Sur,,Alimentación,257,65,41,4282.21
2026-05-01,Sur,app,Deporte,353,24,8,3421.02
2026-05-01,Sur,desconocido,Electrónica,492,119,22,3240.54
2026-05-01,Sur,desconocido,Moda,414,55,8,2583.57
2026-05-01,Sur,desconocido,Hogar,333,68,33,3752.65
2026-05-01,Sur,desconocido,Alimentación,84,21,17,8455.53
2026-05-01,Sur,desconocido,Deporte,55,7,41,19576.45
2026-05-01,Centro,web,Electrónica,144,39,33,1853.48
